DateTime Stamp,Signed Firmware Version,Ultrasound range( (signal strength)-(0-100)Db,Updates per second,Ranges(m),2D Camera resolution,Frames per second,Point cloud Density,Points per second,ultrasound data type,camera data type,lidar data type,operation ,Abnormality type,Potential Attack type
2023-02-16 14:30:30,1.2.5,16,65,5,RGB: 1024 x 768,15,PCD: 1024 x 1024,12167,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:31:00,1.2.3,73,105,5,RGB: 1024 x 768,51,PCD: 1024 x 1024,32139,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:31:30,1.2.4,83,68,2,RGB: 1024 x 768,26,PCD: 1024 x 1024,21463,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:32:00,1.2.3,93,92,3,RGB: 1024 x 768,32,PCD: 1024 x 1024,20375,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:32:30,1.2.4,65,103,0,RGB: 1024 x 768,32,PCD: 1024 x 1024,10658,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:33:00,1.2.3,37,61,2,RGB: 1024 x 768,58,PCD: 1024 x 1024,31694,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:33:30,1.2.3,98,36,2,RGB: 1024 x 768,30,PCD: 1024 x 1024,15257,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:34:00,1.2.5,92,78,5,RGB: 1024 x 768,24,PCD: 1024 x 1024,30428,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:34:30,1.2.4,73,120,1,RGB: 1024 x 768,21,PCD: 1024 x 1024,32541,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:35:00,1.2.3,66,107,4,RGB: 1024 x 768,32,PCD: 1024 x 1024,35764,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:35:30,1.2.3,45,101,0,RGB: 1024 x 768,54,PCD: 1024 x 1024,29106,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:36:00,1.2.5,37,34,3,RGB: 1024 x 768,43,PCD: 1024 x 1024,15607,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:36:30,1.2.4,12,34,6,RGB: 1024 x 768,36,PCD: 1024 x 1024,10788,numeric array,numeric array,numeric array,not normal,malfunction,no attack
